,Unnamed: 0,sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,two_year_recid,c_charge_degree_F,c_charge_degree_M,risk_recid,prediction
0,0,1,69,0,0,0,0,0,0,1,0,0,0
1,1,1,34,1,0,0,0,0,1,1,0,0,0
2,2,1,24,1,0,0,1,4,1,1,0,0,1
3,5,1,44,0,0,0,0,0,0,0,1,0,0
4,6,1,41,0,0,0,0,14,1,1,0,1,1
5,7,1,43,0,0,0,0,3,0,1,0,0,0
6,8,0,39,0,0,0,0,0,0,0,1,0,0
7,10,1,27,0,0,0,0,0,0,1,0,0,0
8,11,1,23,1,0,0,0,3,1,0,1,1,1
9,12,0,37,0,0,0,0,0,0,0,1,0,0
10,13,1,41,1,0,0,0,0,0,1,0,0,0
11,14,0,47,0,0,0,0,1,1,1,0,0,0
12,15,1,31,1,0,0,0,7,1,1,0,0,1
13,16,1,37,0,0,0,0,0,0,0,1,0,0
14,17,1,25,1,0,0,0,3,0,1,0,1,1
15,18,1,31,0,0,0,0,6,1,1,0,1,1
16,19,1,31,0,0,0,0,5,1,1,0,0,1
17,20,1,64,1,0,0,0,13,1,1,0,1,1
18,21,1,21,1,0,0,0,1,1,1,0,1,1
19,22,1,27,0,0,0,0,0,1,0,1,0,0
20,23,0,21,0,0,0,0,0,0,1,0,0,1
21,24,1,24,0,0,0,0,1,1,1,0,0,1
22,25,1,43,0,0,0,0,1,0,0,1,0,0
23,26,1,32,0,0,0,0,0,0,0,1,0,0
24,27,1,27,1,0,0,0,8,1,1,0,0,1
25,29,1,26,1,0,0,1,5,1,1,0,1,1
26,30,1,33,1,0,0,0,0,1,1,0,1,0
27,31,1,30,0,0,0,0,9,1,1,0,1,1
28,32,1,32,1,0,0,0,4,1,1,0,1,1
29,33,1,55,0,0,0,0,0,0,1,0,0,0
30,34,1,49,0,0,0,0,7,1,1,0,0,0
31,36,0,33,0,0,0,0,4,1,0,1,1,0
32,37,1,24,0,0,0,0,1,1,0,1,0,0
33,38,1,34,1,2,1,3,21,1,1,0,1,1
34,39,1,29,0,0,0,0,0,0,0,1,0,0
35,40,0,21,1,0,0,0,2,0,1,0,1,1
36,41,1,51,1,0,0,0,2,0,0,1,0,0
37,42,1,29,0,0,0,0,2,1,0,1,0,0
38,43,0,51,1,0,0,0,7,0,1,0,0,0
39,44,1,29,1,0,0,0,0,1,1,0,1,0
40,45,1,25,0,0,0,0,9,1,0,1,1,1
41,46,1,35,1,1,0,4,13,1,1,0,1,1
42,47,1,49,0,0,0,0,0,0,0,1,0,0
43,49,1,29,1,0,0,0,0,0,1,0,0,0
44,50,1,29,0,0,0,0,1,1,1,0,0,0
45,51,0,28,0,0,0,0,0,0,1,0,0,0
46,54,1,31,1,0,0,1,15,0,1,0,1,1
47,55,1,24,1,0,0,0,2,1,1,0,0,1
48,56,1,30,0,0,0,0,0,0,0,1,1,0
49,57,1,49,1,0,0,0,4,0,0,1,0,0
50,58,1,53,0,0,0,0,8,0,1,0,1,0
51,59,1,35,1,0,0,0,5,0,1,0,0,0
52,61,1,27,1,1,1,2,15,1,1,0,1,1
53,62,1,38,0,0,0,0,4,1,0,1,0,0
54,63,1,22,1,0,0,1,1,1,1,0,0,1
55,65,1,29,1,0,0,0,4,1,1,0,1,1
56,66,1,62,0,0,0,0,0,0,0,1,0,0
57,67,1,27,1,0,1,0,6,1,1,0,1,1
58,68,1,33,0,0,0,0,0,0,0,1,0,0
59,69,0,56,1,0,0,0,0,0,0,1,0,0
60,70,1,45,0,0,0,0,6,1,1,0,0,0
61,71,1,22,0,0,0,0,1,0,1,0,0,1
62,72,1,39,1,0,0,0,1,0,0,1,0,0
63,73,1,29,1,0,0,0,5,1,1,0,1,1
64,74,1,27,0,0,0,1,1,1,1,0,1,0
65,75,1,40,1,0,0,0,2,0,1,0,0,0
66,76,1,22,1,0,0,0,1,1,0,1,0,0
67,77,1,22,0,0,0,0,0,0,1,0,1,0
68,78,0,26,1,0,0,0,1,1,1,0,0,1
69,80,1,32,1,0,0,0,0,0,1,0,0,0
70,81,1,41,1,0,0,0,1,0,0,1,0,0
71,82,1,30,1,0,0,0,8,1,0,1,1,1
72,83,1,50,0,0,0,0,0,1,1,0,0,0
73,84,1,25,1,1,6,1,14,1,1,0,1,1
74,85,1,20,0,0,0,0,0,1,1,0,1,1
75,86,1,22,1,1,0,0,2,1,1,0,1,1
76,88,0,35,1,0,0,0,1,0,0,1,0,0
77,89,1,36,1,0,0,0,9,1,1,0,1,1
78,90,1,26,0,0,0,0,7,1,1,0,1,1
79,91,1,21,0,0,0,0,1,1,1,0,1,1
80,92,1,25,0,0,0,0,9,1,1,0,1,1
81,94,0,20,0,0,0,0,0,0,1,0,1,1
82,95,1,39,0,0,0,0,2,1,1,0,0,0
83,97,0,54,0,0,0,0,0,0,0,1,0,0
84,98,0,44,0,0,0,0,0,0,0,1,0,0
85,99,1,19,1,0,0,0,1,1,0,1,0,1
86,101,1,30,1,0,0,0,1,0,1,0,0,0
87,102,0,39,0,0,0,0,0,1,1,0,0,0
88,103,1,24,0,0,1,2,8,1,1,0,1,1
89,104,1,30,0,0,0,0,0,0,1,0,0,0
90,105,1,31,0,0,0,0,0,0,0,1,1,0
91,106,0,39,0,0,0,0,1,0,1,0,0,0
92,109,1,21,1,0,0,0,3,1,1,0,1,1
93,110,1,38,0,0,0,0,5,1,0,1,0,0
94,111,1,34,0,0,0,0,0,0,1,0,1,0
95,112,1,33,1,0,0,0,5,1,1,0,1,1
96,113,1,37,1,0,0,0,3,0,1,0,0,0
97,114,1,42,0,0,0,0,1,1,1,0,0,0
98,115,1,41,1,0,1,0,10,1,1,0,1,1
99,116,1,22,1,0,0,0,0,1,1,0,0,1
100,117,1,33,1,0,12,2,28,1,1,0,1,1
101,118,1,31,1,0,0,0,1,0,0,1,1,0
102,119,0,30,0,0,0,0,1,0,1,0,0,0
103,120,1,31,0,0,0,0,13,1,1,0,1,1
104,121,1,27,1,0,0,0,3,1,1,0,1,1
105,123,1,52,0,0,0,0,3,0,0,1,1,0
106,124,1,33,1,0,0,0,19,1,1,0,1,1
107,127,1,42,0,0,0,0,6,0,1,0,0,0
108,128,0,25,0,0,0,0,2,0,1,0,0,1
109,129,1,30,0,0,0,0,1,0,0,1,0,0
110,131,0,37,0,0,0,0,2,0,0,1,0,0
111,132,1,28,0,0,0,0,0,1,0,1,0,0
112,133,0,24,1,0,0,0,0,0,0,1,0,0
113,134,0,29,0,0,1,0,10,1,1,0,0,1
114,135,1,44,0,0,0,0,2,1,0,1,0,0
115,137,1,32,1,0,0,0,3,1,1,0,1,1
116,138,1,31,0,0,0,0,2,1,0,1,0,0
117,139,1,31,1,0,0,0,1,0,0,1,0,0
118,140,1,59,0,0,0,0,1,1,1,0,0,0
119,142,0,20,1,1,0,0,1,0,1,0,1,1
120,143,0,43,0,0,0,0,0,0,0,1,0,0
121,144,1,38,1,1,1,0,9,1,1,0,1,1
122,145,1,32,1,0,0,0,11,1,1,0,1,1
123,146,1,33,1,0,0,0,8,1,0,1,1,1
124,147,0,31,1,0,0,0,0,1,1,0,0,0
125,148,0,33,1,0,0,0,7,1,1,0,1,1
126,149,1,27,1,0,0,0,2,1,1,0,1,1
127,150,0,20,1,0,0,0,0,0,1,0,1,1
128,151,0,26,0,0,0,0,0,0,0,1,1,0
129,152,0,61,1,0,0,0,1,1,1,0,0,0
130,153,1,52,0,0,0,0,13,1,1,0,1,1
131,154,1,63,0,0,0,0,1,0,1,0,0,0
132,155,0,32,1,0,0,0,4,1,1,0,1,1
133,156,1,29,0,0,0,0,1,0,1,0,0,0
134,158,0,26,1,0,0,0,2,1,0,1,0,0
135,160,1,39,0,1,0,0,1,0,0,1,0,0
136,161,0,30,0,0,0,0,3,1,1,0,1,1
137,162,1,30,1,0,0,0,1,0,1,0,1,0
138,163,1,48,0,0,0,0,2,0,0,1,0,0
139,164,1,22,1,0,0,0,1,0,1,0,0,1
140,165,1,46,0,0,0,0,6,1,1,0,0,0
141,167,1,31,0,0,0,0,0,0,1,0,1,0
142,168,1,25,1,0,0,0,1,1,0,1,0,0
143,169,1,23,0,0,0,0,0,0,1,0,0,0
144,170,0,32,1,0,0,0,5,0,1,0,1,1
145,171,1,52,0,0,0,0,2,0,0,1,0,0
146,172,1,62,1,0,0,0,8,0,1,0,0,0
147,175,1,31,0,0,0,0,8,1,1,0,1,1
148,176,1,28,1,0,0,0,6,1,0,1,1,1
149,177,1,54,0,0,0,0,2,0,1,0,0,0
150,178,1,58,0,0,0,0,0,0,1,0,0,0
151,179,1,78,0,0,0,0,1,1,0,1,0,0
152,180,1,56,0,0,0,0,0,0,1,0,0,0
153,181,1,24,0,0,0,0,0,0,1,0,0,0
154,183,1,22,1,0,0,0,1,1,1,0,1,1
155,184,1,47,1,0,0,0,23,1,0,1,1,1
156,185,1,23,1,0,0,0,0,1,0,1,0,0
157,186,1,57,0,0,0,0,1,0,1,0,0,0
158,188,1,66,1,0,0,0,3,0,1,0,0,0
159,189,1,45,0,0,0,0,8,1,0,1,0,0
160,192,1,37,1,0,0,0,2,1,0,1,1,0
161,193,1,39,0,0,0,0,0,1,1,0,0,0
162,194,1,26,1,0,0,0,9,1,1,0,1,1
163,195,1,45,0,0,0,0,2,0,1,0,0,0
164,196,1,23,1,0,0,0,0,1,1,0,0,0
165,197,1,34,1,0,0,0,2,0,0,1,0,0
166,198,0,23,1,0,0,0,1,0,0,1,0,0
167,199,1,36,0,0,0,0,2,1,0,1,0,0
168,200,1,50,0,0,0,0,1,0,1,0,0,0
169,201,0,37,0,0,0,0,0,0,0,1,0,0
170,202,1,44,0,0,0,0,4,0,0,1,0,0
171,203,0,35,1,0,1,0,23,1,1,0,1,1
172,204,1,24,0,0,0,0,5,1,1,0,1,1
173,205,1,26,1,0,0,0,2,1,1,0,1,1
174,206,1,27,1,0,0,0,0,0,0,1,0,0
175,207,0,28,1,0,0,0,0,0,1,0,1,0
176,209,0,28,0,0,0,0,7,1,1,0,1,1
177,210,1,38,1,0,0,0,2,0,1,0,0,0
178,212,0,28,1,0,0,0,1,0,1,0,1,0
179,213,1,56,0,0,0,0,7,1,1,0,0,0
180,214,1,38,1,0,0,0,15,0,1,0,1,1
181,215,1,28,1,0,0,0,2,0,0,1,1,0
182,219,0,51,0,0,0,0,0,1,0,1,0,0
183,220,1,51,0,0,0,0,0,0,0,1,0,0
184,221,1,36,0,0,0,0,1,1,0,1,0,0
185,222,1,48,1,0,0,0,0,0,1,0,0,0
186,223,1,37,0,0,0,0,4,1,1,0,0,0
187,224,0,30,1,0,0,0,2,0,1,0,1,0
188,225,0,41,1,0,0,0,5,0,0,1,1,0
189,226,1,27,1,0,0,0,11,1,1,0,1,1
190,227,1,37,1,0,0,0,0,0,0,1,0,0
191,228,1,33,0,0,0,0,4,1,1,0,0,1
192,229,1,54,1,0,0,0,11,0,1,0,1,0
193,230,1,23,1,0,0,0,2,0,1,0,1,1
