,cluster,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,age,gender,race1,race2,race3,race4,race5,race6,race7,race8
0,4.0,32.5,3.2,-0.76,-0.56,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
1,5.0,41.0,3.9,1.08,0.88,1.0,3.0,-57.0,1,0,0,0,0,0,0,1,0
2,3.0,36.0,2.9,-0.53,-1.05,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
3,1.0,36.0,3.1,-0.67,-0.9,1.0,3.0,-61.0,1,0,0,0,1,0,0,0,0
4,1.0,34.0,2.5,-1.14,-0.93,1.0,4.0,-60.0,0,0,1,0,0,0,0,0,0
5,5.0,41.0,3.2,-0.16,-0.19,1.0,5.0,-59.0,0,0,0,0,0,0,0,1,0
6,3.0,36.0,3.3,0.45,0.23,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
7,1.0,41.0,3.4,-0.38,-0.83,1.0,3.0,-58.0,1,0,0,0,0,0,0,1,0
8,2.0,35.0,3.3,0.91,1.26,1.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
9,1.0,37.0,3.2,-0.65,-0.59,1.0,3.0,-61.0,1,0,0,0,0,0,0,1,0
10,5.0,42.0,3.8,0.35,0.35,1.0,4.0,-55.0,1,0,0,0,0,0,0,1,0
11,3.0,36.0,3.6,0.45,0.44,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
12,1.0,44.0,3.7,-1.26,-1.42,1.0,3.0,-60.0,0,0,0,0,0,0,0,1,0
13,3.0,37.0,3.7,1.08,0.98,1.0,3.0,-62.0,0,0,0,0,0,0,0,1,0
14,3.0,34.0,3.5,-0.2,-0.57,1.0,4.0,-63.0,1,0,0,0,0,0,0,1,0
15,3.0,42.0,3.3,-1.59,-0.82,1.0,4.0,-62.0,0,0,0,0,0,0,0,1,0
16,1.0,26.0,2.6,1.28,-0.85,2.0,4.0,-61.0,0,0,0,0,0,0,0,1,0
17,1.0,38.0,3.6,0.22,0.18,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
18,5.0,30.0,2.9,-0.86,-1.43,1.0,4.0,-60.0,0,0,0,0,0,0,0,1,0
19,2.0,45.0,3.1,2.23,2.14,1.0,4.0,-61.0,1,0,0,0,0,0,0,1,0
20,3.0,40.0,2.6,-0.44,-1.36,1.0,4.0,-60.0,1,0,0,0,0,0,0,1,0
21,3.0,42.0,3.9,0.61,0.47,1.0,3.0,-55.0,1,0,0,0,0,0,0,1,0
22,3.0,38.0,2.2,-0.94,-0.91,1.0,4.0,-57.0,0,0,0,0,0,0,0,1,0
23,3.0,37.0,2.5,-0.77,-1.55,1.0,5.0,-61.0,0,0,0,0,0,0,0,1,0
24,5.0,45.0,3.6,0.25,0.19,1.0,4.0,-65.0,1,0,0,0,0,0,0,1,0
25,1.0,39.0,3.5,-0.81,-0.07,1.0,3.0,-49.0,0,0,0,0,0,0,0,1,0
26,3.0,31.0,3.0,-1.46,-1.34,2.0,2.0,-42.0,0,0,0,0,0,1,0,0,0
27,3.0,34.0,3.0,-0.5,-1.41,1.0,4.0,-62.0,1,0,0,0,0,0,0,1,0
28,1.0,41.0,3.8,1.6,1.49,1.0,3.0,-62.0,1,0,0,0,0,0,0,1,0
29,4.0,43.0,3.6,-0.99,-0.1,1.0,4.0,-60.0,1,0,0,0,0,0,0,1,0
30,3.0,27.0,2.3,-1.26,-1.27,1.0,3.0,-55.0,0,0,0,0,1,0,0,0,0
