,sex,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,two_year_recid,c_charge_degree_F,c_charge_degree_M,risk_recid,prediction,prediction_prob
6055,1,23,0,0,0,0,2,0,1,0,1,0,0.45043956055189494
2925,1,28,1,0,0,0,0,0,0,1,0,0,0.28515726440979494
1353,1,25,0,0,0,0,0,0,1,0,0,0,0.2958808183192909
2144,1,53,1,0,0,0,1,0,0,1,0,0,0.06649594866049552
6062,1,30,0,0,0,0,4,1,1,0,1,1,0.5822280383869264
3965,1,34,1,0,0,0,2,0,1,0,0,0,0.3709451658359938
728,1,26,0,0,0,0,0,0,1,0,0,0,0.2796698658375263
3486,1,50,1,0,0,0,0,0,1,0,0,0,0.09081002464788462
2637,0,58,0,0,0,0,0,0,1,0,0,0,0.038304051501989116
2819,1,31,0,0,0,0,0,0,1,0,1,0,0.20723981529218607
4884,0,20,1,0,0,1,0,1,0,1,1,1,0.71014307109001
5709,1,49,0,0,0,0,3,0,1,0,0,0,0.11912039418632739
1104,1,22,1,0,0,0,0,1,1,0,1,1,0.6191563700482831
3367,1,33,1,0,0,0,2,1,1,0,1,1,0.5313711755540673
4254,1,31,1,0,0,0,6,1,0,1,1,1,0.7207111072661152
5673,1,22,1,0,0,0,4,0,0,1,1,1,0.6400055199471367
5959,1,23,0,0,0,0,0,0,0,1,1,0,0.2564684364866887
5510,0,55,0,0,0,0,0,0,1,0,0,0,0.04807078523788462
1489,1,24,0,0,0,0,0,0,1,0,1,0,0.3126236187147477
3382,0,23,1,0,0,0,0,1,1,0,0,1,0.6595525799312022
1329,0,57,0,0,0,0,0,0,0,1,0,0,0.029321728535900496
4090,1,25,0,0,1,0,6,1,1,0,1,1,0.8444413101104703
4299,1,57,0,0,0,0,0,0,0,1,0,0,0.022885347691604826
5215,1,38,0,0,0,0,1,1,1,0,0,0,0.2562098764112552
5328,0,40,0,0,0,0,0,0,0,1,0,0,0.10388209045532375
1286,0,22,1,0,0,1,0,1,1,0,0,1,0.7490390406562123
5146,0,34,1,0,0,0,1,0,0,1,0,0,0.2922885606746012
5931,1,40,0,0,0,0,4,1,1,0,1,0,0.38718458536585487
4937,0,28,1,0,0,0,5,0,0,1,1,1,0.6479670198818691
6061,1,24,0,0,0,0,0,0,0,1,0,0,0.24167568212952173
4995,1,38,1,0,0,0,5,0,0,1,0,0,0.39283411221173503
1187,1,25,0,0,0,0,2,1,0,1,0,0,0.46554470183515917
1434,1,24,1,0,1,0,4,1,1,0,1,1,0.8583692346525901
4794,1,29,0,0,0,0,0,1,0,1,0,0,0.2760073470461222
4344,1,34,1,0,0,0,2,0,1,0,0,0,0.3709451658359938
4424,1,51,1,0,0,0,8,1,0,1,0,0,0.4689631115211831
5523,1,29,1,0,0,0,1,1,0,1,0,0,0.4579777670044063
5177,1,26,1,0,0,0,2,0,0,1,0,0,0.43759566982390913
4514,1,23,0,0,0,0,6,1,1,0,1,1,0.8014794711003852
5175,1,39,0,0,0,0,3,0,1,0,0,0,0.2297545646913947
676,1,20,0,0,0,2,0,0,1,0,0,1,0.558412349326671
4997,1,27,1,0,0,0,0,1,1,0,0,1,0.5225907707984305
2280,1,41,1,0,0,0,13,0,1,0,1,1,0.8484382889620494
555,1,22,1,0,1,0,3,0,1,0,1,1,0.7559098387322236
1009,1,31,0,0,0,0,0,0,1,0,0,0,0.20723981529218607
4177,1,32,1,0,0,0,13,1,0,1,1,1,0.9342237355167159
287,1,47,1,0,0,0,3,0,1,0,0,0,0.21388908551834515
3635,1,37,0,0,0,0,1,1,1,0,0,0,0.2715736603637423
4832,1,29,0,0,0,1,11,1,1,0,1,1,0.9274856784158487
1971,1,32,0,0,0,0,2,0,1,0,0,0,0.28682088747651363
1300,0,24,1,0,0,0,2,1,0,1,1,1,0.676216454169757
149,1,54,0,0,0,0,2,0,1,0,0,0,0.06591079159662774
120,0,43,0,0,0,0,0,0,0,1,0,0,0.08377386710954471
2853,0,38,1,0,0,0,3,1,1,0,0,1,0.5595868434629175
3534,1,51,1,0,0,0,0,1,1,0,0,0,0.14085724234534033
1887,1,48,0,0,0,0,0,0,0,1,0,0,0.045558579195291264
5671,1,49,0,0,0,0,0,0,1,0,0,0,0.059211435293515406
5651,1,22,1,0,0,0,2,1,1,0,1,1,0.7302413256820068
2248,1,29,0,0,0,0,2,1,1,0,0,0,0.4753093502415502
6096,0,30,0,0,0,0,3,0,1,0,1,0,0.4394789722655575
4339,1,34,1,2,0,0,8,1,1,0,1,1,0.955574698936853
3666,0,54,1,0,0,0,6,0,1,0,0,0,0.3023475173395834
